Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3122088,¿Quién eres? De la personalidad a la autoestima,Enrique Rojas,"Rojas, Enrique",,"=""8484603407""","=""9788484603405""",0,Booket,Paperback,446,2004,2004,,2024/03/30,currently-reading,currently-reading (#6),currently-reading,,,,1,0
101682151,"Huelva, tierra de fandangos",Unknown Author,"Author, Unknown",,"=""8484554058""","=""9788484554059""",0,Fundación Cajasol,Hardcover,728,2020,,,2024/03/30,currently-reading,currently-reading (#5),currently-reading,,,,1,0
198703802,Fandango: Cuando el fandango voló,Miguel Ángel Fernández Borrero,"Borrero, Miguel Ángel Fernández",,"=""8411317382""","=""9788411317382""",0,Almuzara,Paperback,400,2023,,,2024/03/30,to-read,to-read (#41),to-read,,,,0,0
5314273,Los largos caminos del flamenco (Spanish Edition),Jose Maria Roldan Fernandez,"Fernandez, Jose Maria Roldan",,"=""8481631280""","=""9788481631289""",0,Fundación El Monte,Paperback,368,1997,,,2024/03/30,to-read,to-read (#40),to-read,,,,0,0
5314271,La larga familia del flamenco,Jose Maria Roldan Fernandez,"Fernandez, Jose Maria Roldan",,"=""8496826058""","=""9788496826052""",0,Editorial de la Universidad de Huelva,Paperback,242,2007,,,2024/03/30,to-read,to-read (#39),to-read,,,,0,0
4034315,When Languages Die: The Extinction of the World's Languages and the Erosion of Human Knowledge,K. David Harrison,"Harrison, K. David",,"=""0195372069""","=""9780195372069""",0,Oxford University Press,Paperback,304,2008,2007,,2020/11/15,to-read,to-read (#31),to-read,,,,0,0
2242197,"El vino del estío (Green Town, #1)",Ray Bradbury,"Bradbury, Ray",Francisco Abelenda,"=""8445072331""","=""9788445072332""",4,Minotauro,Mass Market Paperback,235,1996,1957,2023/01/08,2023/01/08,,,read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Patrick Herbert,"Herbert, Frank Patrick",,"=""059309932X""","=""9780593099322""",5,Ace,Hardcover,658,2019,1965,,2019/12/09,,,read,,,,1,0
792859,El señor de las moscas,William Golding,"Golding, William",Carmen Vergara,"=""8420634115""","=""9788420634111""",4,Alianza,Paperback,256,1998,1954,2022/11/02,2022/07/24,,,read,,,,1,0
39849701,Solo,Richard Evelyn Byrd,"Byrd, Richard Evelyn",Lidia Pelayo Alonso,"=""8494747118""","=""9788494747113""",4,Volcano Libros,Paperback,284,2017,1937,2022/07/24,2022/07/24,,,read,,,,1,0
36243849,Sueños árticos,Barry Lopez,"Lopez, Barry",,"=""8494645250""","=""9788494645259""",0,Capitan Swing,Paperback,536,2007,1986,,2022/06/11,to-read,to-read (#38),to-read,,,,0,0
60564282,Autocienciaficción para el fin de la especie,Begoña Méndez,"Méndez, Begoña",,"=""""","=""""",0,H&OEditores,Paperback,209,2022,2022,,2022/05/17,to-read,to-read (#37),to-read,,,,0,0
61048034,Futurofobia,Héctor García Barnés,"Barnés, Héctor García",,"=""8401028469""","=""9788401028465""",0,PLAZA & JANES,Paperback,304,2022,,,2022/05/15,to-read,to-read (#36),to-read,,,,0,0
46211539,El pintor de almas,Ildefonso Falcones,"Falcones, Ildefonso",,"=""""","=""""",0,Grijalbo,Kindle Edition,688,2019,2019,,2022/05/06,to-read,to-read (#35),to-read,,,,0,0
36216607,"QualityLand (QualityLand, #1)",Marc-Uwe Kling,"Kling, Marc-Uwe",,"=""3550050232""","=""9783550050237""",0,Ullstein,Hardcover,384,2018,2017,,2022/04/26,to-read,to-read (#34),to-read,,,,0,0
44141381,The Simulation Hypothesis,Rizwan Virk,"Virk, Rizwan",,"=""0983056900""","=""9780983056904""",0,Bayview Books,Paperback,330,2019,2019,,2022/04/20,to-read,to-read (#33),to-read,,,,0,0
62891,"Oh, Jerusalén",Dominique Lapierre,"Lapierre, Dominique","Larry Collins, Juan Moreno","=""8408065769""","=""9788408065760""",5,Planeta,Mass Market Paperback,721,2006,1972,,2022/04/04,,,read,,,,1,0
